detector_id,stream_id,node_id,asset_id,direction,lane_use,longitude,latitude,source_begin_utc,source_end_utc,begin,end,interval_seconds,expected_total,source_observation_count,expected_source_observation_count,quality_status,source_system,aggregation_method
hh_2403_Z_3_29224,29224,2403,Z.3,Richtung 1,,9.998093289,53.544240947,2026-07-18T14:45:00Z,2026-07-18T15:00:00Z,2700,3600,900,37,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_3_29224,29224,2403,Z.3,Richtung 1,,9.998093289,53.544240947,2026-07-18T15:00:00Z,2026-07-18T15:15:00Z,3600,4500,900,31,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_3_29224,29224,2403,Z.3,Richtung 1,,9.998093289,53.544240947,2026-07-18T15:15:00Z,2026-07-18T15:30:00Z,4500,5400,900,29,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_3_29224,29224,2403,Z.3,Richtung 1,,9.998093289,53.544240947,2026-07-18T15:30:00Z,2026-07-18T15:45:00Z,5400,6300,900,23,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_3_29224,29224,2403,Z.3,Richtung 1,,9.998093289,53.544240947,2026-07-18T15:45:00Z,2026-07-18T16:00:00Z,6300,7200,900,23,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_3_29224,29224,2403,Z.3,Richtung 1,,9.998093289,53.544240947,2026-07-18T16:00:00Z,2026-07-18T16:15:00Z,7200,8100,900,27,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_3_29224,29224,2403,Z.3,Richtung 1,,9.998093289,53.544240947,2026-07-18T16:15:00Z,2026-07-18T16:30:00Z,8100,9000,900,19,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_4_33751,33751,2403,Z.4,Richtung 1,,9.998112186,53.544216708,2026-07-18T14:30:00Z,2026-07-18T14:45:00Z,1800,2700,900,19,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_4_33751,33751,2403,Z.4,Richtung 1,,9.998112186,53.544216708,2026-07-18T14:45:00Z,2026-07-18T15:00:00Z,2700,3600,900,26,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_4_33751,33751,2403,Z.4,Richtung 1,,9.998112186,53.544216708,2026-07-18T15:00:00Z,2026-07-18T15:15:00Z,3600,4500,900,15,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_4_33751,33751,2403,Z.4,Richtung 1,,9.998112186,53.544216708,2026-07-18T15:15:00Z,2026-07-18T15:30:00Z,4500,5400,900,14,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_4_33751,33751,2403,Z.4,Richtung 1,,9.998112186,53.544216708,2026-07-18T15:30:00Z,2026-07-18T15:45:00Z,5400,6300,900,11,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_4_33751,33751,2403,Z.4,Richtung 1,,9.998112186,53.544216708,2026-07-18T15:45:00Z,2026-07-18T16:00:00Z,6300,7200,900,13,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
